,Series Name,Series Code,Country Name,Country Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Afghanistan,AFG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Albania,ALB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Algeria,DZA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Angola,AGO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Antigua and Barbuda,ATG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Argentina,ARG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Armenia,ARM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Australia,AUS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Austria,AUT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Azerbaijan,AZE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,"Bahamas, The",BHS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
